received,employer,city,region,layoff_dates,employees
07/07/2021 - (08/30/2021),Sodexo @ Suffolk University,Boston,Boston,2021-07-31,74
2021-08-13,"A. Russo & Sons, Inc.",Watertown,Boston,2021-10-12,239
2021-09-10,"Human Service Option, Inc.",Dedham/Multiple Southeast locations,Boston,2021-11-01,207 total locations
2021-11-22,"Flexion Therapeutics, Inc. (""Flexion"")",Burlington,Boston,2022-01-18,110
2021-11-29,"Decipher Pharmaceuticals, LLC",Waltham,Boston,2022-01-29,116
2022-01-26,"ABM Aviation, Delta Catering",Boston,Boston,2022-03-25,219
2022-03-16,"Merck & Co., Inc. (""Merck""); Merck Sharp & Dohme Corp.; Acceleron Pharma Inc. (""Acceleron"")",Cambridge,Boston,5/31/22-11/18/22,170
2022-04-01,Back2BU Healthway @ Boston University,Boston (Multiple Locations),Boston,2022-05-31,175 Total /all locations
2022-04-01,Back2BU Healthway @ Boston University,Brookline (2) locations,Boston,2022-05-31,175 Total /all locations
2022-04-11,"Akebia Therapeutics, Inc. (""Akebia"")",Cambridge,Boston,2022-04-15,181 (total) 91 in MA
2022-04-25,Boston Hard Rock Cafe,Boston,Boston,2022-06-26,44
2022-04-29,"Tufts Medical Center, Inc.",Boston (Multiple Locations),Boston,2022-07-01,118
2022-06-02,"Daily Grommet, Inc.",Somerville,Boston,6/30/2022; 7/31/2022,44
2021-10-08,Valdilvia Logistics LLC,Milford,Central,2021-10-16,52
2022-04-21,Durham School Services,Worcester,Central,2022-06-20,181
2021-09-16,XERJ Logistics LLC,Canton,Metro Southwest,2021-09-30,59
2021-11-03,Muzi Motors,Needham Heights,Metro Southwest,11/31/2021,91
2021-04-19,"Hilsinger Company Parent, LLC (d/b/a Hilco Vision)",Plainville,Metro Southwest,6/24/2022 - 7/22/2022,75
2022-04-25,Sodexo @ Brandeis University,Waltham,Metro Southwest,2022-06-30,171
2022-05-24,"Neiman Marcus Group, LLC",Natick,Metro Southwest,7/23/22 - 9/14/22,
2022-07-09,*UDATED* Schneider Electric,Foxboro,Southeast,2021-09-07,9
2021-08-26,*UDATED* Schneider Electric,Foxboro,Southeast,2021-10-25,15
2021-09-10,"Human Service Option, Inc.","Randolph, Cohasset, Weymouth",Southeast,2021-11-01,207 total - to include Dedham location
2021-09-16,ACG Delivery LLC,Middleborough,Southeast,2021-09-30,71
2021-09-30,*UPDATED* Schneider Electric 5th Notice,Foxboro,Southeast,2021-11-29,3
2021-10-27,*UPDATED* Schneider Electric 6th Notice,Foxboro,Southeast,2021-12-31,14
2021-11-01,Pilgrim Nuclear Power Plant,Plymouth,Southeast,2022-01-06,102
2021-11-23,*UPDATED* Schneider Electric 7th Notice,Foxboro,Southeast,2022-01-21,9
2021-12-13,"Lockheed Martin Sippican Corporation, Rotary and Missions Systems",Marion,Southeast,2022-02-24,84
2022-01-18,*UPDATED* Schneider Electric 8th Notice,Foxboro,Southeast,2022-03-15,3
2022-02-10,Roche Brothers Supermarket Company,Quincy,Southeast,2022-04-11,t/b/c
2022-03-01,*UPDATED* Schneider Electric 9th Notice,Foxboro,Southeast,2022-04-29,4
2022-05-13,Talbot's Inc./Talbot's Distribution Center,Lakeville,Southeast,Three stages: commencing on 7/9/2022 and concluding 11/11/2022,277
2022-06-08,Solar Seal LLC,South Easton,Southeast,2022-08-05,The current company headcount minus employees who have less than 6 months working at the company = 72
2022-02-09,"Peloton Interactive, Inc.",Billerica,Northeast,2022-02-08,64
2021-12-03,"Berkshire Health Systems, Inc.","Pittsfield, MA",West,2022-02-01,94
2021-12-07,"Leoni Wire, Inc.","Chicopee, MA",West,2022-02-04,79
2022-07-14,H3 Biomedicine Inc.,Cambridge,Boston,2022-09-15,79
2022-08-19,"Wayfair, LLC",Boston,Boston,2022-10-19,540
2022-09-13,"Rubius Therapeutics, Inc.",Cambridge,Boston,11/15/2022 - 12/31/2022,80
2022-10-21,"Starry, Inc.",Boston,Boston,2022-10-21,143
2022-10-26,"Cybereason, Inc.",Boston,Boston,2022-12-27,120 (25 reside in MA)
2022-11-03,"UPDATED Rubius Therapeutics, Inc.",Cambridge,Boston,11/15/2022 - 1/31/2023,48
2022-11-04,"Twitter, Inc.",Boston,Boston,2023-01-04,55
2022-11-25,"Twitter, Inc. (Supplemental)",Boston,Boston,2023-01-20,18 Voluntary Resignations
2022-12-01,"Quad/Graphics, Inc.",Woburn,Boston,2/1/2023-4/1/2023,108
2022-12-01,SQZ Biotechnologies Company,Watertown,Boston,2023-01-30,70 - 80
2023-01-05,SunSetter Products LP,Malden,Boston,2023-03-07,54
2023-01-18,"UPDATED Starry, Inc.",Boston,Boston,2023-01-23,57
2023-01-20,"Wayfair, LLC",Boston,Boston,2023-03-20,932
2023-02-16,"Critical Ideas, Inc. d/b/a Chipper Cash",Medford,Boston,2023-02-17,1
2023-02-18,"Resilience US, Inc.",Allston,Boston,4/15/2023 - 6/15/2023,213
2023-02-22,"Jounce Therapeutics, Inc.",Cambridge,Boston,3/15/2023-3/31/2023,77
2023-02-24,MassBiologics,Mattapan,Boston,2023-04-28,26
2023-03-06,"UPDATED Sunsetter Products, LP",Malden,Boston,3/7/2023 - 6/30/2023,54
2023-04-06,"Pear Therapeutics (US), Inc.",Boston,Boston,2023-04-07,78
2023-04-14,David's Bridal,Westwood,Boston,4/14/2023 - 8/11/2023,work in progress
2023-04-14,David's Bridal,Natick,Boston,4/14/2023 - 8/11/2023,work in progress
