company,city,industry,layoff_start,warn_act,warn_received,layoff_type,layoff_status,affected_workers,period,source_file
Godiva Chocolatier Inc-Minnetonka,Minnetonka,Retail,2/15/2021,NO,-,Closing,Small Layoff Services,4,2021-01,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Godiva Chocolatier Inc-Bloomington,Bloomington,Retail,2/15/2021,NO,-,Closing,Small Layoff Services,5,2021-01,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Silver King 2021,Plymouth,Manufacturing,12/31/2021,NO,-,Closing,Small Layoff Services,31,2021-01,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Christopher & Banks 2021,Plymouth,Retail,1/1/2021,YES,1/25/2021,Closing,Small Layoff Services,361,2021-01,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Commercial Plastics - Lakeville 2021,Lakeville,Utilities,2/15/2021,YES,1/6/2021,Closing,Small Layoff Services,122,2021-01,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Aramark-3M Locations 2020,Cottage Grove,Dining Establishments,4/30/2021,YES,2/24/2021,Closing,Rapid Response in Progress,80,2021-02,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Minneapolis Airport Marriott Hotel,Bloomington,Accommodation,3/19/2021,YES,3/19/2021,Temporary Layoff,Small Layoff Services,82,2021-03,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
"Total Card, Inc 1",Luverne,Finance & Insurance,3/31/2021,NO,-,Closing,TAA Investigation,22,2021-03,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
American Beverage Corp,Elk River,Manufacturing,4/26/2021,NO,-,Closing,Small Layoff Services,45,2021-03,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Plastic Services & Products 2021,Faribault,Manufacturing,3/19/2021,NO,-,Closing,Small Layoff Services,5,2021-03,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Positive Connections 2021,Chaska,Transportation,6/1/2021,YES,-,No Layoff,Aversion/Retention,92,2021-03,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
Eclipse Advantage 2021,Maple Grove,Other Services,5/28/2021,YES,4/6/2021,Closing,Small Layoff Services,208,2021-04,plant-closing-mass-layoff-2021_tcm1045-515051.pdf
