received_date,effective_date,type,affected,employer,city,county,notification,source_year
1/19/2017,2/9/2017,Closure,64,Save-A-Lot,Las Vegas,Clark,,2017
2/6/2017,4/10/2017,Closure,67,Fresh & Ready Foods,N. Las Vegas,Clark,,2017
3/27/2017,5/27/2017,Closure,124,bebe,"Re, He, LV","Wa, Cl",,2017
4/25/2017,6/30/2017,Closure,327,"UNR Med Integrated Clinical Services, Inc.",Las Vegas,Clark,,2017
5/9/2017,6/30/2017,Closure,71,First Transit,"Re, He, LV","Wa, Cl",,2017
5/9/2017,6/30/2017,Layoff,133,Andre Agassi College Preparatory Academy,Las Vegas,Clark,,2017
5/24/2017,7/18/2017,Closure,57,Stripeside Café & Bar (Caesars Casino),Las Vegas,Clark,,2017
5/24/2017,7/31/2017,Closure,63,JC Penney,Las Vegas,Clark,,2017
6/20/2017,10/11/2017,Closure,76,Nevada Gaming Partners,"LV, NLV, He, Sp, El","Cl, Wa, El",,2017
7/27/2017,9/30/2017,Closure,87,B&B Burger & Beer,Las Vegas,Clark,,2017
8/21/2017,10/24/2017,Layoff,807,PAE Applied Technologies LLC,Las Vegas,Clark,,2017
8/23/2017,10/24/2017,Layoff,255,"C. Martin Company, Inc.",Las Vegas,Clark,,2017
8/23/2017,10/15/2017,Closure,112,"Nevada Coaches, LLC",Las Vegas,Clark,,2017
8/24/2017,10/24/2017,Closure,62,Fluor Federal Solutions LLC,Indian Springs,Clark,,2017
9/27/2017,11/27/2017,Closure,70,SunOpta Healthy Snacks,Carson City,Carson City,,2017
10/26/2017,12/31/2017,Closure,87,Table 10,Las Vegas,Clark,,2017
11/6/2017,1/8/2018,Closure,48,Zenith Education Group,Henderson,Clark,,2017
11/14/2017,1/13/2018,Layoff,163,Frias Transportation Management,Las Vegas,Clark,,2017
1/10/2018,3/10/2018,Closure,111,American Buildings Co.,Carson City,Carson City,,2018
1/11/2018,3/9/2018,Layoff,406,The Service Companies,Las Vegas,Clark,,2018
2/2/2018,4/1/2018,Layoff,4,Eurest Services Inc. (Compass Group),Reno,Washoe,,2018
2/13/2018,2/9/2018,Closure,32,Northeast Reliable Services - 5360,Reno,Washoe,,2018
2/13/2018,2/9/2018,Closure,31,Northeast Reliable Services - 3875,Reno,Washoe,,2018
2/28/2018,4/30/2018,Closure,276,Pioneer Hotel & Gambling Hall,Laughlin,Clark,,2018
3/15/2018,5/13/2018,Closure,59,Hard Rock Café,Stateline,Douglas,,2018
3/22/2018,5/20/2018,Closure,335,Scolari's Food,"Re, Ye, Fe, To","Wa, Ly, Ny",,2018
3/27/2018,7/27/2018,Closure,68,B&B Ristorante,Las Vegas,Clark,,2018
4/6/2018,6/5/2018,Closure,62,The Bank Nightclub,Las Vegas,Clark,,2018
5/11/2018,5/9/2018,Closure,70,MG Design Associates Corp.,Henderson,Clark,,2018
5/16/2018,7/15/2018,Closure,1526,JT3,Las Vegas,Clark,,2018
5/18/2018,5/17/2018,Layoff,0,Texas Migrant Council,,,,2018
5/25/2018,7/27/2018,Closure,143,Carnevino,Las Vegas,Clark,,2018
5/25/2018,7/27/2018,Closure,92,Otto Enoteca Pizzeria,Las Vegas,Clark,,2018
5/30/2018,7/31/2018,Closure,107,"Alorica, Inc.",Reno,Washoe,,2018
6/6/2018,8/31/2018,Closure,334,Wells Fargo PVSI,Reno,Washoe,,2018
6/7/2018,7/31/2018,Closure,110,TsiCorp,Las Vegas,Clark,,2018
6/18/2018,8/6/2018,Closure,26,Honor Finance,Las Vegas,Clark,,2018
9/5/2018,10/29/2018,Closure,372,Arvato Digital Services,Reno,Washoe,,2018
10/5/2018,11/25/2018,Closure,14,Wells Fargo - PVSI,Reno,Washoe,,2018
11/13/2018,1/29/2019,Closure,79,Public House,Las Vegas,Clark,,2018
11/16/2018,1/31/2019,Closure,36,Sears,Las Vegas,Clark,,2018
11/16/2018,1/31/2019,Closure,9,Sears Auto Center,Las Vegas,Clark,,2018
11/26/2018,1/26/2019,Closure,3,Baked in the Sun,Las Vegas,Clark,,2018
11/27/2018,1/27/2019,Closure,146,Arizona Pipeline,Las Vegas,Clark,,2018
1/8/2019,3/9/2019,Layoff,118,Newmont North America,Elko,Elko,,2019
1/14/2019,3/13/2019,Closure,1097,Frias Transportation,Las Vegas,Clark,,2019
1/30/2019,3/20/2019,Layoff,163,Tesla,Las Vegas,Clark,,2019
1/30/2019,3/20/2019,Layoff,124,Tesla,Sparks,Storey,,2019
1/31/2019,3/31/2019,Closure,79,Sunshine Minting,Las Vegas,Clark,,2019
2/7/2019,9/30/2019,Layoff,137,AECOM,Fallon,Churchill,,2019
2/7/2019,9/30/2019,Layoff,4,AECOM,Las Vegas,Clark,,2019
2/15/2019,4/12/2019,Closure,8,Spectrum Pharmaceuticals,Henderson,Clark,,2019
2/19/2019,12/31/2019,Closure,50,KEMET Blue Powder Corp,Carson City,Lyon,,2019
3/11/2019,5/8/2019,Closure,141,Livanta,Las Vegas,Clark,,2019
