Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"18 William Partners, LLC",2025-04-20,2025-04-20,2025-05-30,"6 Hanover Street  New York, NY, 10005",New York,Closure,Permanent,Economic,59,108,108
57th Street Associates,2025-04-09,2025-01-09,2025-01-17,"60 W 57th St  New York, NY, 10019",New York,Closure,Permanent,COVID 19 Economic,1,60,60
Abbott House,2026-03-31,2025-12-26,2026-01-29,"100 North Broadway  Irvington, NY, 10533",Westchester,Layoff,Permanent,Contract Expiration,4,109,109
Abbott House,2025-10-31,2025-07-29,2025-07-31,"100 North Broadway  Irvington, NY, 10533",Westchester,Closure,Permanent,Contract Expiration,13,8,8
Abbott House,2026-03-31,2025-12-26,2026-01-29,"1775 Grand Concourse  Bronx, NY, 10453",Bronx,Layoff,Permanent,Contract Expiration,3,53,53
Abbott House,2025-10-31,2025-07-29,2025-07-31,"1775 Grand Concourse  Bronx, NY, 10453",Bronx,Closure,Permanent,Contract Expiration,12,31,31
"ABM Aviation, Inc.",2025-12-30,2025-09-24,2025-11-17,"141 Federal Circle  Queens, NY, 11430",Queens,Layoff,Permanent,Economic,29,83,83
"Air Products and Chemicals, Inc.",2025-01-30,2025-01-30,2025-02-27,"6400 Sheridan Drive 310 Amherst, NY, 14221",Erie,Closure,Permanent,Economic Other,7,28,28
AllianceBernstein L.P.,2026-12-31,2025-04-15,2025-08-28,"66 Hudson Boulevard E.  New York, NY, 10001",New York,Layoff,Permanent,Relocation of Business,9,6,6
Amazon,2026-01-28,2025-10-28,2026-02-10,"6 West 35th St  New York City, NY, 10001",New York,Layoff,Permanent,Economic,12,1,1
Amazon,2026-01-28,2025-10-28,2026-02-10,"7 W 34th St  New York City, NY, 10001",New York,Layoff,Permanent,Economic,13,45,45
Amazon,2026-01-28,2025-10-28,2026-02-10,"215 Park Ave S  New York City, NY, 10003",New York,Layoff,Permanent,Economic,14,7,7
Amazon,2026-01-28,2025-10-28,2026-02-10,"237 Park Ave  New York City, NY, 10017",New York,Layoff,Permanent,Economic,15,56,56
Amazon,2026-01-28,2025-10-28,2026-02-10,"315 Park Ave S  New York City, NY, 10010",New York,Layoff,Permanent,Economic,16,9,9
Amazon,2026-01-28,2025-10-28,2026-02-10,"330 W 34th St  New York City, NY, 10001",New York,Layoff,Permanent,Economic,17,84,84
Amazon,2026-01-28,2025-10-28,2026-02-10,"410 10th Ave  New York City, NY, 10001",New York,Layoff,Permanent,Economic,18,2,2
Amazon,2026-01-28,2025-10-28,2026-02-10,"424 5th Ave  New York City, NY, 10018",New York,Layoff,Permanent,Economic,19,77,77
Amazon,2026-01-28,2025-10-28,2026-02-10,"450 West 33rd St  New York City, NY, 10001",New York,Layoff,Permanent,Economic,20,6,6
"American Sugar Refining, Inc.",2026-01-31,2025-09-29,2026-01-05,"1 Federal Street  Yonkers, NY, 10705",Westchester,Closure,Permanent,Economic,24,231,231
"AngioDynamics, Inc.",2026-02-27,2025-11-13,2026-02-09,"8 Glens Falls Tech Park  Glens Falls, NY, 12801",Warren,Layoff,Permanent,Contract Loss,4,1,1
"AngioDynamics, Inc.",2026-02-27,2025-11-13,2026-02-09,"24 Native Drive  Queensbury, NY, 12804",Warren,Layoff,Permanent,Contract Loss,5,2,2
"AngioDynamics, Inc.",2026-02-27,2025-11-13,2026-02-09,"603 Queensbury Avenue  Queensbury, NY, 12804",Warren,Layoff,Permanent,Contract Loss,6,48,48
"Aramark Campus, LLC at the University of Rochester",2025-06-30,2025-04-21,2025-05-02,"735 LIBRARY RD UNIVERSITY OF ROCHESTER ROCHESTER, NY, 14627",Monroe,Closure,Permanent,Contract Loss Contract Termination,2,61,61
"Aramark Services, Inc.",2025-12-19,2025-09-10,2025-10-06,"383 Madison Ave  New York, NY, 10017",New York,Closure,Permanent,Contract Loss,53,67,67
"ARB Gaming, LLC.",2025-12-19,2025-09-15,2025-09-30,"Remote Employees  Jericho, NY, 11753",Nassau,Layoff,Permanent,Other,17,33,33
"Arbor E&T, LLC",2025-09-30,2025-07-30,2025-09-04,"47 Trinity Place 7th New York, NY, 10006",New York,Closure,Permanent,Contract Loss,57,60,60
"Arbor E&T, LLC",2025-09-30,2025-07-30,2025-09-04,"400 East Fordham Rd  Bronx, NY, 10458",Bronx,Closure,Permanent,Contract Loss,55,25,25
"Arbor E&T, LLC",2025-09-30,2025-07-30,2025-09-04,"1029 E 163rd St. 3rd Floor Bronx, NY, 10459",Bronx,Closure,Permanent,Contract Loss,56,7,7
Area Storage & Transfer Inc. (Rescission),2026-02-28,2025-11-24,2026-03-09,"288 Grumman RD W  Bethpage, NY, 11714",Nassau,Closure,Temporary,Other,5,0,0
Atria Wealth Solutions,2025-08-01,2025-05-02,2025-06-18,"100 Madison Street FL 13 Syracuse, NY, 13202",Onondaga,Layoff,Permanent,Sale of Business,52,35,35
Atria Wealth Solutions,2025-08-01,2025-05-02,2025-06-18,"295 Madison Avenue Suite 1407 New York, NY, 10017",New York,Layoff,Permanent,Sale of Business,51,1,1
"Aurora Cares, LLC. d/b/a Tara Cares",2025-11-26,2025-08-27,2025-10-06,"3690 Southwestern Blvd  Orchard Park, NY, 14127",Erie,Closure,Permanent,Contract Loss,52,125,125
"Barrette Outdoor Living, Inc.",2025-05-05,2025-02-03,2025-02-18,"231 Ship Canal Parkway  Buffalo, NY, 14218",Erie,Closure,Permanent,Economic,255,93,93
