s,h,s,h,s,s,s,s,s,s,,,,
,,,,,,,,,,,,,
Company,Company,Date Received,URL,City/County,Potential Number Affected,Layoff Date(s),Phone Number,Union,Notice ID,,,,
"syncreon America, Inc","syncreon America, Inc",12/14/23,https://jfs.ohio.gov/static/warn/WARN 2023/syncreonAmericaInc.pdf,Toledo/Lucas,68,2/5/24,(567)900-1527,Y,009-23-078,,,,
Zulily,Zulily,12/7/23,https://jfs.ohio.gov/static/warn/WARN%202023/Zulily.pdf,Lockbourne/Franklin,274,02/07/2024-02/21/2024,(614) 295-4496,N,011-23-077,,,,
FCA US LLC,FCA US LLC,12/7/23,https://jfs.ohio.gov/static/warn/FCAUS.pdf,Toledo/Lucas,1225,02/05/2024-02/19/2024,(419) 262-5304,Y,009-23-076,,,,
Xellia Pharmaceuticals,Xellia Pharmaceuticals,12/6/23,https://jfs.ohio.gov/static/warn/XelliaPharmaceuticalsLLC.pdf,Bedford Heights/Cuyahoga,80,02/05/2024-02/19/2024,(440) 999-0940,N,003-23-075,,,,
Stevens Aerospace and Defense Systems,Stevens Aerospace and Defense Systems,11/28/23,https://jfs.ohio.gov/static/warn/pdf/Stevens Aerospace and Defense Systems.pdf,Vandalia/Montgomery,54,1/31/24,(864)678-6137,N,007-23-074,,,,
Cygnus Home Service,Cygnus Home Service,11/28/23,https://jfs.ohio.gov/static/warn/WARN%202023/CygnusHomeServiceLLC.pdf,Various Cities/Various Counties,11,1/19/24,(612)439-5259,N,011-23-073,,,,
Ardagh Metal Packaging,Ardagh Metal Packaging,11/28/23,https://jfs.ohio.gov/static/warn/WARN%202023/ArdaghMetalPackaging.pdf,Whitehouse/Lucas,110,1/31/24,(662)420-6443,USW Local Union # 8316,009-23-072,,,,
GXO Logistics ,GXO Logistics ,11/14/23,https://jfs.ohio.gov/static/warn/WARN%202023/GXO.pdf,Groveport/Franklin,192,01/15/2024-01/29/2024,(331)452-7739,,011-23-071,,,,
Amazon,Amazon,11/2/23,https://jfs.ohio.gov/static/warn/WARN 2023/Amazon.pdf,Columbus/Franklin,90,01/02/2024 & 01/23/2024,(888)280-4331,,011-23-070,,,,
Nestle,Nestle,11/1/23,https://jfs.ohio.gov/static/warn/WARN%202023/Nestle.pdf,Solon/Cuyahoga,77,12/31/2023-08/02/2024,(440)264-5354,,003-23-069,,,,
Morgan Stanley,Morgan Stanley,11/1/23,https://jfs.ohio.gov/static/warn/WARN 2023/MorganStanley.pdf,Columbus/Franklin,95,12/31/23,(470)857-2397,,011-23-068,,,,
"Olive AI, Inc","Olive AI, Inc",10/31/23,https://jfs.ohio.gov/static/warn/WARN 2023/OliveAIInc.pdf,Columbus/Franklin,33,11/01/2023 to 11/03/2023,(800) 501-3161,,011-23-067,,,,
Klarna LLC,Klarna LLC,10/23/23,https://jfs.ohio.gov/static/warn/WARN 2023/Klarna.pdf,Columbus/Franklin,102,12/23/2023-01/05/2024,(614)965-9232,,011-23-066,,,,
York Street Fresh Foods LLC,York Street Fresh Foods LLC,10/23/23,https://jfs.ohio.gov/static/warn/WARN 2023/YorkStreetFreshFoodsLLC.pdf,Sharonville/Hamilton,150,12/15/2023-12/22/2023,(513)864-4323,,013-23-065,,,,
ProMedica Employment Services II,ProMedica Employment Services II,10/17/23,https://jfs.ohio.gov/static/warn/WARN 2023/ProMedicaEmploymentServicesII.pdf,Sylvania/Lucas,122,12/16/2023-12/30/2023,(419)291-0136,,009-23-064,,,,
St. Bernard Soap Company,St. Bernard Soap Company,10/12/23,https://jfs.ohio.gov/static/warn/WARN 2023/StBernardSoapCompany.pdf,Cincinnati/Hamilton,127,12/10/2023-12/24/2023,(317)225-0828,Independent Employees Representation Union,013-23-063,,,,
M. Argueso & Co. Inc dba Paramelt,M. Argueso & Co. Inc dba Paramelt,10/12/23,https://jfs.ohio.gov/static/warn/WARN 2023/MArguesoCoIncdbaParamelt.pdf,Cleveland/Cuyahoga,25,12/15/2023 & 4/1/2024,(231) 672-9104,,003-23-062,,,,
DHL Supply Chain,DHL Supply Chain,10/11/23,https://jfs.ohio.gov/static/warn/WARN 2023/DHLSupplyChain.pdf,Groveport/Franklin,264,10/31/2023-01/31/2024,(614)214-7468,,011-23-061,,,,
Whole Foods Market,Whole Foods Market,10/6/23,https://jfs.ohio.gov/static/warn/WARN 2023/WholeFoodsMarket.pdf,Toledo/Lucas,99,12/5/23,(312)796-1548,,009-23-060,,,,
First Savings Bank,First Savings Bank,9/29/23,https://jfs.ohio.gov/static/warn/WARN 2023/FirstSavingsBank.pdf,Various Cities/Various Counties,9,11/30/23,(812) 218-6857,,999-23-059,,,,
Novolex-Shields-Accutech,Novolex-Shields-Accutech,10/2/23,https://jfs.ohio.gov/static/warn/WARN 2023/NovolexShields.pdf,Cold Water/Mercer,59,12/1/2023 to 03/1/2024,(513) 441-3632,,008-23-058,,,,
"Mansfield Plumbing Products, LLC","Mansfield Plumbing Products, LLC",9/26/23,https://jfs.ohio.gov/static/warn/WARN 2023/Mansfield Plumbing Products LLC.pdf,Perrysville/Ashland,263,12/31/2023 to 08/24/2024 ,(419)938-5211,"Teamsters, Chauffeurs & helpers Local 40",007-23-057,,,,
Thriveworks Administrative Services,Thriveworks Administrative Services,9/15/23,https://jfs.ohio.gov/static/warn/WARN 2023/Thriveworks Administrative Services.pdf,Columbus/Franklin,4,11/30/23,(855)505-2880,,999-23-056,,,,
Encore Industries,Encore Industries,9/12/23,https://jfs.ohio.gov/static/warn/WARN 2023/Encore Industries Inc.pdf,Cambridge/Guernsey,89,09/12/2023-11/12/2023,(418)931-9529,,007-23-055,,,,
Divvy Homes Inc.,Divvy Homes Inc.,9/7/23,https://jfs.ohio.gov/static/warn/WARN 2023/Divvy Homes Inc.pdf,Unknown/Unknown,6,11/7/23,(209)968-6764,,999-23-054,,,,
Sherwin-Williams - Updated,Sherwin-Williams - Updated,8/31/23,https://jfs.ohio.gov/static/warn/WARN 2023/Sherwin-Williams update.pdf,Bedford Heights/Cuyahoga,2,10/31/2023 to 11/13/2023,(336)339-3394,,003-23-030,,,,
"ExpressPoint Technology Services, Inc.","ExpressPoint Technology Services, Inc.",8/25/23,https://jfs.ohio.gov/static/warn/WARN 2023/ExpressPoint Technology Services Inc.pdf,Grove City/Franklin,65,10/30/2023 to 01/31/2024,(614)594-5300 ext.5316 ,,011-23-053,,,,
Toppan Merrill - Updated ,Toppan Merrill - Updated ,8/23/23,https://jfs.ohio.gov/static/warn/WARN 2023/Toppan Merrill Update.pdf,Grove City/Franklin,1,8/21/23,(320)534-5702,,011-23-055,,,,
Honeywell,Honeywell,8/22/23,https://jfs.ohio.gov/static/warn/WARN 2023/Honeywell.pdf,Fairfield/Butler,66,12/15/2023 to 04/30/2024,(877)258-3699,,012-23-052,,,,
Sunbeam Products Inc.,Sunbeam Products Inc.,8/22/23,https://jfs.ohio.gov/static/warn/WARN 2023/Sunbeam Products Inc.pdf,Perrysburg/Wood,130,12/31/23,(330)734-3847,,007-23-051,,,,
Republic Steel,Republic Steel,8/22/23,https://jfs.ohio.gov/static/warn/WARN 2023/Republic Steel.pdf,Canton/Stark,209,08/10/2023 to 08/23/2023,(330)438-5470,United Steel Workers,006-23-050 ,,,,
Deluxe Corporation,Deluxe Corporation,8/17/23,https://jfs.ohio.gov/static/warn/WARN 2023/Deluxe Corporation.pdf,Streetsboro/Portage,71,10/31/2023 to 03/01/2024,(651)490-8612,,019-23-049 ,,,,
The Mills Company,The Mills Company,8/14/23,https://jfs.ohio.gov/static/warn/WARN 2023/The Mills Company.pdf,Marion/Marion,65,10/22/2023 to 12/22/2023,(262)-532-6010,"United Steel, Paper and Forestry, Rubber Manufacturing, Energy, Allied Industrial, and Service Workers International Union (AFL-CIO), CLC",007-23-048,,,,
Federal Express Corporation,Federal Express Corporation,8/8/23,https://jfs.ohio.gov/static/warn/WARN 2023/Federal Express Corporation.pdf,Youngstown/Mahoning,79,11/3/23,(508)861-1084,,017-23-047,,,,
Webhelp Americas LLC,Webhelp Americas LLC,8/8/23,https://jfs.ohio.gov/static/warn/WARN 2023/Webhelp Americas LLC.pdf,Mason/Warren,176,10/8/23,(813)566-2585,,012-23-046 ,,,,
Yellow Corporation,Yellow Corporation,8/1/23,https://jfs.ohio.gov/static/warn/WARN 2023/Yellow Corporation.pdf,Various Cities/Various Counties,Unknown,7/30/23,(202)624-6928,,999-23-045,,,,
First Student,First Student,7/13/23,https://jfs.ohio.gov/static/warn/WARN 2023/First Student.pdf,Lakemore,49,6/30/23,(513)678-4838,,002-23-044 ,,,,
Angstrom Graphics Inc Midwest,Angstrom Graphics Inc Midwest,7/25/23,"https://jfs.ohio.gov/static/warn/pdf/Angstrom%20Graphics,%20Inc.pdf",Cuyahoga,131,07/25/2023 to 09/23/2023,(216) 271-5300,,003-23-043,,,,
Heartland Healthcare Services,Heartland Healthcare Services,6/30/23,https://jfs.ohio.gov/static/warn/pdf/Heartland-Healthcare-Services.pdf,Toledo/Lucas,155,9/1/23,(419) 535-8435,,009-23-041,,,, 
David's Bridal,David's Bridal,6/29/23,https://jfs.ohio.gov/static/warn/pdf/David-s-Bridal3.pdf,Various Cities/Various Counties,Unknown,07/17/2023 to 07/31/2023,(610) 943-6856,,003-23-025,,,,
"nfrastructure Technologies, LLC","nfrastructure Technologies, LLC",6/27/23,https://jfs.ohio.gov/static/warn/pdf/nfrastructure-Technologies-LLC.pdf,Cleveland/Cuyahoga,38,6/30/23,(248) 321-8831,,003-23-040,,,,
"LyondellBasell Advanced Polymers, Inc","LyondellBasell Advanced Polymers, Inc",6/26/23,https://jfs.ohio.gov/static/warn/pdf/LyondellBasell-Advanced-Polymers-Inc.pdf,Akron/Summit,64,09/02/2023 to 04/15/2024,(330) 696-2190,,002-23-039,,,,
Multi-Color Corporation,Multi-Color Corporation,6/23/23,https://jfs.ohio.gov/static/warn/pdf/Multi-Color-Corporation1.pdf,Mason/Warren,86,4/1/24,(402) 507-7042,,012-23-038,,,,
Crothall Healthcare,Crothall Healthcare,6/16/23,https://jfs.ohio.gov/static/warn/pdf/Crothall-Healthcare1.pdf,Youngstown/Mahoning,88,8/20/23,(267) 218-6851,,003-23-028,,,,
"Bitwise Industries, Inc.","Bitwise Industries, Inc.",6/14/23,https://jfs.ohio.gov/static/warn/pdf/Bitwise-Industries-Inc.pdf,Toledo/Lucas,18,6/14/23,(559) 705-1487,,009-23-037,,,,
David's Bridal,David's Bridal,6/12/23,https://jfs.ohio.gov/static/warn/pdf/David-s-Bridal2.pdf,Various Cities/Various Counties,Unknown,08/20/2023 to 09/02/2023,(610) 943-6856,,003-23-025,,,,
Forman Mills,Forman Mills,6/12/23,https://jfs.ohio.gov/static/warn/pdf/Forman-Mills.pdf,Various Cities/Various Counties,98,8/4/23,(844) 786-1444,,003-23-036,,,,
The Service Companies,The Service Companies,6/8/23,https://jfs.ohio.gov/static/warn/pdf/The-Service-Companies.pdf,Cincinnati/Hamilton,70,7/31/23,(954) 422-2802,,013-23-035,,,,
"Branch Financial, Inc.","Branch Financial, Inc.",6/5/23,https://jfs.ohio.gov/static/warn/pdf/Branch-Financial-Inc.pdf,Columbus/Franklin,55,6/8/23,(224) 217-0786,,011-23-034,,,,
Multi-Color Corporation,Multi-Color Corporation,6/2/23,https://jfs.ohio.gov/static/warn/pdf/Multi-Color-Corporation.pdf,Norwood/Hamilton,56,7/31/23,(402) 507-7042,United Steel Workers,013-23-033,,,,
ProMedica,ProMedica,5/31/23,https://jfs.ohio.gov/static/warn/pdf/Promedica3.pdf,Sylvania/Lucas,189,07/31/2023 to 08/14/2023,(419) 291-0136,,009-23-032,,,,
American Medical Response,American Medical Response,5/30/23,https://jfs.ohio.gov/static/warn/pdf/American-Medical-Response.pdf,Akron/Summit,50,08/01/2023 to 08/01/2023,(330) 687-6737,International Association of EMT's & Paramedics Local 43,002-23-031,,,,
David's Bridal,David's Bridal,5/23/23,https://jfs.ohio.gov/static/warn/pdf/David-s-Bridal1.pdf,Various Cities/Various Counties,Unknown,06/23/2023 to 06/30/2023,(610) 943-6856,,003-23-025,,,,
iMFLUX,iMFLUX,4/28/23,https://jfs.ohio.gov/static/warn/pdf/iMFLUX.pdf,Hamilton/Butler,122,06/30/2023 to 06/30/2023,(513) 484-1799,,012-023-029,,,,
Sherwin-Williams,Sherwin-Williams,4/28/23,https://jfs.ohio.gov/static/warn/pdf/Sherwin-Williams.pdf,Bedford Heights/Cuyahoga,51,06/30/2023 to 08/31/2023,(336) 339-3394,United Steelworkers,003-23-030,,,,
Honeywell Intelligrated LLC,Honeywell Intelligrated LLC,4/21/23,https://jfs.ohio.gov/static/warn/pdf/Honeywell-Intelligrated-LLC.pdf,West Chester/Butler,223,06/20/2023 to 12/15/2023,(847) 745-9888,"International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers, AFL-CIO, CLC",012-23-027,,,,
Crothall Healthcare,Crothall Healthcare,4/21/23,https://jfs.ohio.gov/static/warn/pdf/Crothall-Healthcare2.pdf,Youngstown/Mahoning,88,06/18/2023 to 06/18/2023,(267) 218-6851,,003-23-028,,,,
Promedica,Promedica,4/18/23,https://jfs.ohio.gov/static/warn/pdf/Promedica2.pdf,Toledo/Lucas,6,06/17/2023 to 06/30/2023,(419) 291-0136,,009-23-026,,,,
David's Bridal,David's Bridal,4/14/23,https://jfs.ohio.gov/static/warn/pdf/David-s-Bridal.pdf,Various Cities/Various Counties,Unknown,04/14/2023 to 08/11/2023,(610) 943-6856,,003-23-025,,,,
AmeriMark,AmeriMark,4/10/23,https://jfs.ohio.gov/static/warn/pdf/AmeriMark.pdf,Middleburg Heights/Berea/Cuyahoga,223,04/10/2023 to 06/06/2023,(440) 325-2038,,003-23-024,,,,
Toppan Merrill,Toppan Merrill,4/5/23,https://jfs.ohio.gov/static/warn/pdf/Toppan-Merrill-Update.pdf,Grove City/Franklin,93,06/02/2023 to 07/28/2023,(320) 534-5702,,011-22-055,,,,
Arrowhead Engineered Products,Arrowhead Engineered Products,4/3/23,https://jfs.ohio.gov/static/warn/pdf/Arrowhead-Engineered-Products.pdf,Cincinnati/Hamilton,7,05/31/2023 to 05/31/2023,(513) 552-9280,,013-23-023,,,,
Visible Supply Chain Management LLC,Visible Supply Chain Management LLC,4/3/23,https://jfs.ohio.gov/static/warn/pdf/Visible-Supply-Chain-Management-LLC.pdf,West Chester/Butler,37,06/02/2023 to 06/02/2023,(412) 780-4424,,012-23-022,,,,
McLaren WellCare Clinics,McLaren WellCare Clinics,3/24/23,https://jfs.ohio.gov/static/warn/pdf/McLaren-WellCare-Clinics.pdf,Various Cities/Various Counties,118,04/01/2023 to 06/01/2023,(419) 897-8471,,009-23-020,,,,
Aspiration,Aspiration,3/24/23,https://jfs.ohio.gov/static/warn/pdf/Aspiration.pdf,Cincinnati/Hamilton,1,05/26/2023 to 06/01/2023,(323) 213-9580,,013-23-021,,,,
Sensience,Sensience,3/23/23,https://jfs.ohio.gov/static/warn/pdf/Sensience.pdf,Cincinnati/Hamilton,42,06/15/2023 to 12/30/2023,(513) 366-2278,,013-23-018,,,,
Pactiv Evergreen,Pactiv Evergreen,3/23/23,https://jfs.ohio.gov/static/warn/pdf/Pactiv-Evergreen.pdf,Olmstead Falls/Cuyahoga,155,06/09/2023 to 09/28/2023,(901) 821-4399,"United Steel, Paper and Forestry, Rubber, Manufacturing Energy, Allied Industrial, and Service Workers International Union (AFL-CIO), CLC",003-23-019,,,,
Yellow Corporation - Green,Yellow Corporation - Green,3/16/23,https://jfs.ohio.gov/static/warn/pdf/Yellow-Corporation----Green.pdf,Green/Summit,107,05/28/2023 to 06/10/2023,(913) 344-3497,International Brotherhood of Teamsters (IBT),002-23-016,,,,
Yellow Corporation - West Chester,Yellow Corporation - West Chester,3/16/23,https://jfs.ohio.gov/static/warn/pdf/Yellow-Corporation---West-Chester.pdf,West Chester Township/Butler,150,05/28/2023 to 06/10/2023,(913) 344-3497,International Brotherhood of Teamsters (IBT),012-23-017,,,,
Promedica,Promedica,3/15/23,https://jfs.ohio.gov/static/warn/pdf/Promedica-Update.pdf,Toledo/Lucas,105,03/24/2023 to 04/01/2023,(419) 291-0136,,009-23-004,,,,
McLaren St. Luke's Hospital,McLaren St. Luke's Hospital,3/9/23,https://jfs.ohio.gov/static/warn/pdf/McLaren-St--Luke-s-Hospital.pdf,Maumee/Lucas,743,05/15/2023 to 05/15/2023,(419) 897-8471,,009-23-015,,,,
Olive,Olive,2/9/23,https://jfs.ohio.gov/static/warn/pdf/Olive.pdf,Columbus/Franklin,44,04/10/2023 to 04/10/2023,(800) 501-3161,,001-23-014,,,,
Aultman Alliance Community Hospital dba Community Care Center Facility,Aultman Alliance Community Hospital dba Community Care Center Facility,2/1/23,https://jfs.ohio.gov/static/warn/pdf/Aultman-Alliance-Community-Hospital-dba-Community-Care-Center-Facility.pdf,Alliance/Stark,56,04/02/2023 to 04/02/2023,(330) 363-2166,,006-23-012,,,,
Aultman Hospital,Aultman Hospital,2/1/23,https://jfs.ohio.gov/static/warn/pdf/Aultman-Hospital-dbaTransitional-Care-Center.pdf,Canton/Stark,97,04/02/2023 to 04/02/2023,(330) 363-2166,,006-23-013,,,,
"Genpak, LLC","Genpak, LLC",1/30/23,https://jfs.ohio.gov/static/warn/pdf/Genpak-LLC.pdf,Columbus/Franklin,67,03/31/2023 to 12/31/2023,(704) 533-0092,"International Association of Machinists and Aerospace Workers, District #54, Lodge #1471",011-23-011,,,,
Abercrombie and Fitch Management Co,Abercrombie and Fitch Management Co,1/17/23,https://jfs.ohio.gov/static/warn/pdf/Abercrombie-and-Fitch-Management-Co.pdf,New Albany/Franklin,63,03/13/2023 to 01/24/2024,(614) 765-7147,,011-23-010,,,,
Energy Harbor Generation LLC,Energy Harbor Generation LLC,1/13/23,https://jfs.ohio.gov/static/warn/pdf/2023-01-13-Energy-Harbor-Generation-LLC.pdf,Stratton/Jefferson,140,03/14/2023 to 06/15/2023,(330) 565-5374,Local 457 Utility Workers Union of America,016-23-009,,,,
Abercrombie and Fitch Co,Abercrombie and Fitch Co,1/12/23,https://jfs.ohio.gov/static/warn/pdf/Abercrombie-and-Fitch-Co.pdf,Cincinnati/Hamilton,11,01/15/2023 to 01/15/2023,(866) 681-3115,,013-23-007,,,,
Accella Polyurethane Systems LLC,Accella Polyurethane Systems LLC,1/12/23,https://jfs.ohio.gov/static/warn/pdf/Accella-Polyurethane-Systems-LLC.pdf,Delphos/Allen,71,03/13/2023 to 03/31/2023,(618) 664-4540,,007-23-008,,,,
"Specialized Bicycle Components, Inc","Specialized Bicycle Components, Inc",1/11/23,https://jfs.ohio.gov/static/warn/pdf/Specialized-Bicycle-Components-Inc-.pdf,Groveport/Franklin,6,01/13/2023 to 01/13/2023,(415) 314-2232,,011-23-006,,,,
Railcrew Xpress,Railcrew Xpress,1/10/23,https://jfs.ohio.gov/static/warn/pdf/Railcrew-Xpress.pdf,Various Cities/Various Counties,68,02/20/2023 to 02/20/2023,(816) 601-0067,,013-23-005,,,,
Promedica,Promedica,1/9/23,https://jfs.ohio.gov/static/warn/pdf/Promedica.pdf,Toledo/Lucas,7,03/10/2023 to 04/01/2023,(419) 291-0136,,009-2-004,,,,
North American Savings Bank,North American Savings Bank,1/6/23,https://jfs.ohio.gov/static/warn/pdf/North-American-Savings-Bank.pdf,Gates Mills/Cuyahoga,1,03/07/2023 to 03/07/2023,(816) 316-4045,,003-23-002,,,,
Brinks Home,Brinks Home,1/5/23,https://jfs.ohio.gov/static/warn/pdf/Brinks-Home.pdf,Breaksville/Cuyahoga,6,03/05/2023 to 03/05/2023,(469) 577-3616,,003-23-003,,,,
"Marc Glassman, Inc.","Marc Glassman, Inc.",1/3/23,https://jfs.ohio.gov/static/warn/pdf/Marc-Glassman-Inc.pdf,Kettering/Montgomery,44,03/06/2023 to 03/20/2023,(216) 265-7700,,007-23-001,,,,
