s,h,s,h,s,s,s,s,s,s
,,,,,,,,,
Company,Company,Date Received,URL,City/County,Potential Number Affected,Layoff Date(s),Phone Number,Union,Notice ID
Vimo & D&A Consulting dba Get Insured,Vimo & D&A Consulting dba Get Insured,12/30/2024 & 12/24/2024,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/VimoDAConsultingdbaGetInsured.pdf,Multiple Cities/Counties,13,2/19/25,(650) 618-4581,N,000-24-095
American Freight Group LLC,American Freight Group LLC,12/23/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/AmericanFreightGroupLLC2.pdf,Delaware/Delaware,50,3/1/24,(740) 363-2222,N,077-24-093
Spartech,Spartech,12/16/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/Spartech.pdf,Paulding/Paulding,102,02/11/2025-05/31/2025,(314) 569-7443,N,007-24-092
Libra Industries ,Libra Industries ,12/12/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/LibraIndustries.pdf,Mentor/Lake,17,2/21/25,(937)414-0102,N,005-24-091
American Freight Group LLC,American Freight Group LLC,12/2/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/AmericanFreightGroupLLC.pdf,Delaware/Delaware,62,2/3/25,(740) 363-2222,N,007-24-090
Honeywell Intelligrated LLC,Honeywell Intelligrated LLC,11/26/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/HoneywellIntelligratedLLC2.pdf,London/Madison,98,10/31/2024; 12/20/2024; 01/31/2025; 03/31/2025; 05/29/2025,(513) 266-9842,"Union: International of Bridge, Structural, Ornamental, Reinforcing Iron Workers, AFL-CIO, CLC",007-24-030
idX Corporation,idX Corporation,11/22/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/idXCorporation2.pdf,Dayton/Montgomery,66,01/22/2025-02/05/2025,(202) 441-5193,N,007-24-089
American Sugar Refining,American Sugar Refining,11/12/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/AmericanSugarRefining.pdf,Cleveland/Cuyahoga,90,01/11/2025; 04/04/2025; 05/01/2025; 07/04/2025,(000) 000-0000,N,003-24-088
Post Consumer Brands,Post Consumer Brands,11/8/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/PostConsumerBrands2.pdf,Lancaster/Fairfield,158,10/04/2024 10/31/2024; 01/08/2025,(952) 322-8916,United Electrical Radio & Machine Workers of America - Local 718 & 777,020-24-056
KUKA Toledo Production Operations LLC,KUKA Toledo Production Operations LLC,11/8/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/KUKA.pdf,Toledo/Lucas,160,01/05/2025-01/19/2025,(586) 871-6163,UAW Local 12,009-24-087
Mobis North America,Mobis North America,11/8/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/MobisNorthAmerica.pdf,Toledo/Lucas,210,1/5/25,(419) 344-2138,UAW Local 12,009-24-086
FCA US,FCA US,11/6/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/FCAUS2.pdf,Toledo/Lucas,1134,01/05/2025-01/19/2025,(248) 931-8637,UAW Local 12,009-24-085
Airgas,Airgas,10/31/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/Airgas2.pdf,Independence/Cuyahoga,70,12/31/2024-09/30/2025,(216) 986-7090,N,003-24-067
PPC Flexible Packaging LLC,PPC Flexible Packaging LLC,10/31/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/PPCFlexiblePackagingLLC.pdf,Alliance/Stark,68,01/03/2025-03/28/2025,(419) 349-5754,N,006-24-084
Pepsico,Pepsico,10/28/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/PepsiCo.pdf,Cincinnati/Hamilton,136,12/28/24,(317) 416-6308,Teamsters Local 1199,013-24-083
True Value,True Value,10/21/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/TrueValue.pdf,Westlake/Cuyahoga,89,12/14/2024-12/28/2024,(866) 771-0561,N,003-24-082
DHL Supply Chain,DHL Supply Chain,10/16/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/DHLSupplyChainCanalWinchester.pdf,Canal Winchester/Franklin,173,12/15/2024-04/28/2025,(614) 256-4819,N,011-24-080
General Aluminum,General Aluminum,10/16/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/GeneralAluminum.pdf,Conneaut/Ashtabula,69,11/08/2024-01/31/2025,(330) 298-7211,N,019-24-081
Global Medical Response,Global Medical Response,10/9/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/GlobalMedicalResponse.pdf,Dayton/Montgomery,74,10/9/2024-11/08/2024,(209) 292-1138,N,007-24-059
Nordson,Nordson,10/7/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/Nordson.pdf,Amherst/Lorain,114,12/06/2024-04/15/2025,(440)370-5687,Local Lodge No 1802 International Association of Machinists and Aerospace Workers,004-24-079
Midwest Transport Inc.,Midwest Transport Inc.,10/1/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/MidwestTransportInc.pdf,Unknown City/County,5,9/9/24,(618) 544-3399,N,999-24-078
P. Graham Dunn Inc,P. Graham Dunn Inc,10/1/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/PGrahamDunnInc.pdf,Dalton/Wayne,92,10/20/24,(330) 828-2105,N,007-24-077
Kaleo Inc,Kaleo Inc,9/30/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/KaleoInc.pdf,Unknown City/County,5,11/30/24,(804) 545-6360,N,999-24-076
Xellia Pharmaceuticals USA LLC,Xellia Pharmaceuticals USA LLC,9/23/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/XelliaPharmaceuticalsLLC.pdf,Bedford/Cuyahoga,214,08/17/2024; 08/31/2024; 10/31/2024; 12/31/2024,(440)836-4905,N,003-24-048
"Cygnus Home Service, LLC","Cygnus Home Service, LLC",9/23/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/CygnusHomeServiceLLC2.pdf,Multiple,92,11/22/24,(412) 276-5505,N,000-24-075
Libra Industries,Libra Industries,9/19/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/LibraIndustries1.pdf,Mentor/Lake,45,12/6/24,(937) 414-0102,N,005-24-074
IAC Wauseon,IAC Wauseon,9/16/2024 & 6/10/2024,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/IACWauseon3.pdf,Wauseon/Fulton,53,8/9/2024-12/31/2024 ,(419) 378-7130,UAW Local 86,007-24-073
Universal Screen Arts,Universal Screen Arts,9/11/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/UniversalScreenArts.pdf,Hudson/Summit,215,09/10/2024-11/01/2024,(234) 380-8790,N,002-24-072
Lost Boys Interactive,Lost Boys Interactive,9/9/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/LostBoysInteractive.pdf,Multiple ,7,9/9/24,(608) 888-8391,N,999-24-071
Swissport USA,Swissport USA,9/4/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/SwissportUSA.pdf,Cleveland/Cuyahoga,213,11/4/24,(708) 209-6749,N,003-24-070
Faurecia Exhaust Systems,Faurecia Exhaust Systems,9/4/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/FaureciaExhaustSystems.pdf,Troy/Miami,60,11/4/2024-04/1/2025,(260) 402-6389,N,007-24-068
ZF Active Safety US Inc,ZF Active Safety US Inc,8/28/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/ZFActiveSafetyUSInc.pdf,Findlay/Hancock,235,11/1/24,(419) 348-0933,N,007-24-066
Steward Health Care System-Trumbull Regional Medical Center,Steward Health Care System-Trumbull Regional Medical Center,8/22/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/StewardHealthcareSystemLLCTrumbullRegionalMedicalCenter.pdf,Warren/Trumbull,765,10/20/24,(781) 467-9809,"Service Employees International Union Dist 1199, American Federation of State, County & Municipal Employees, Local 2026 & 2024",018-24-065
Steward Health Care System- Hillside Rehabilitation Hospital,Steward Health Care System- Hillside Rehabilitation Hospital,8/21/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/StewardHealthcareSystemLLCHillsideHospital.pdf,Warren/Trumbull,2,10/20/24,(781) 467-9809,N,018-24-064
Steward Health Care System-Hillside Rehabilitation Hospital,Steward Health Care System-Hillside Rehabilitation Hospital,8/22/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/StewardHealthcareSystemLLCHillsideRehabilitationHospital.pdf,Warren/Trumbull,168,10/20/24,(781) 467-9809,"Ohio Nurses Association & American Federation of State, County and Municiple Employees Local 2288",018-24-063
Steward Health Care System-Northside Regional Medical Center,Steward Health Care System-Northside Regional Medical Center,8/21/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/StewardHealthCareSystemLLCNorthsideRegionalMedicalCenter.pdf,Youngstown/Mahoning,9,10/20/24,(617)798-0840,Service Employees International Union District 199,017-24-062
Anheuser-Busch,Anheuser-Busch,8/15/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/AnheuserBusch.pdf,Canton/Stark,63,10/15/2024-10/28/2024,(646) 893-9005,Teamsters Local 92,006-24-061
Pitney Bowes,Pitney Bowes,8/10/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/PitneyBowes2.pdf,Canal Winchester/Franklin,165,10/8/2024 & 10/12/2024,(310) 405-5057,N,011-24-060
Epiroc Industrial Tools & Attachments LLC,Epiroc Industrial Tools & Attachments LLC,8/2/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/EpirocIndustrialToolsAttachmentsLLC.pdf,Akron/Summit,77,(9/17/2024-9/30/2024,(423) 545--0045,N,002-24-058
Inservco Inc,Inservco Inc,8/2/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/InservcoInc.pdf,La Grange/Lorain,62,10/1/2024; 10/31/2024; 12/31/2024,(440) 662-8331,N,004-24-057
"Aramark Facility Services, LLC","Aramark Facility Services, LLC",7/29/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/AramarkFacilityServicesLLC.pdf,Cleveland/Cuyahoga,104,8/1/24,(844) 441-6947,SEIU Local 1,003-24-055
idX Corporation,idX Corporation,7/18/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/idX_Corporation.pdf,Dayton/Montgomery,62,9/16/24,(616) 239-7035,N,007-24-054
Pitney Bowes,Pitney Bowes,7/17/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/Pitney_Bowes.pdf,Canal Winchester/Franklin,1,9/17/24,(310) 405-5057,N,011-24-053
Dorel Home,Dorel Home,7/8/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/DorelHome.pdf,Tiffin/Seneca,130,7/8/24,(419) 443-2456,N,007-24/052
Delta Apparel,Delta Apparel,7/1/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/DeltaApparel.pdf,Hebron/Licking,14,8/29/24,(678) 775-6900,N,007-24-051
Nordic Consulting Group,Nordic Consulting Group,6/26/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/NordicConsultingGroup.pdf,Cincinnati/Hamilton,61,07/2/2024 & 08/01/2024-12/31/2024,(608) 422-4467,N,013-24-050
Bath & Body Works Logistics Services,Bath & Body Works Logistics Services,6/18/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/BathBodyWorksLogisticsServices.pdf,Columbus/Franklin,85,6/22/24,(614) 415-5478,N,011-24-049
Charter Communications ,Charter Communications ,6/13/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/CharterCommunications.pdf,Columbus/Franklin,175,8/15/24,(203) 705-0859,N,011-24-047
Nursery Supplies,Nursery Supplies,5/30/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/NurserySupplies.pdf,Mogadore/Summit,62,08/30/2024-12/01/2024,(216) 505-1863,N,002-24-045
"Cygnus Home Service, LLC","Cygnus Home Service, LLC",5/28/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/CygnusHomeServiceLLC.pdf,Jackson/Jackson,13,7/27/24,(507) 607-0566,N,007-24-044
Barclays,Barclays,5/21/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/Barclays.pdf,Cincinnati/Hamilton,252,07/20/2024-09/13/2024,(000) 000-0000,N,013-24-043
RK Industries,RK Industries,5/16/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/RKIndustries.pdf,Ottawa/Putnam,80,7/14/24,(419)523-5001,N,007-24-042
Optum Services,Optum Services,5/16/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/Optum.pdf,Toledo/Lucas,129,07/15/2024-09/06/2024,(952) 202-0535,N,009-24-041
HealthHelp,HealthHelp,5/16/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/RELEASES/HealthHelp.pdf,Akron/Summit,22,6/28/24,(000) 000-0000,N,999-24-040
Mauser Packaging Solutions,Mauser Packaging Solutions,5/13/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/MauserPackagingSolutions.pdf,Cincinnati/Hamilton,107,07/13-09/12/2024,(870) 917-8697,Y,013-24-039
Sodexo,Sodexo,5/6/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/Sodexo.pdf,Dublin/Franklin,116,5/24/24,216-233-1563,N,011-24-038
"Djafi Trucking Company, LLC","Djafi Trucking Company, LLC",4/30/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/DjafiTruckingCompanyLLC.pdf,Columbus/Franklin,15,4/27/24,(614) 899-7320,N,011-24-037
Bath & Body Works Logistics Services,Bath & Body Works Logistics Services,4/30/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/BathBodyWorksLogisticsServices.pdf,Columbus/Franklin,59,5/4/24,(614) 415-5478,N,011-24-036
Insight,Insight,4/29/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/Insight.pdf,Lewis Center/Delaware,82,8/31/24,(480)409-6244,N,007-24-035
Arlington Contact Lens Service,Arlington Contact Lens Service,4/26/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/ArlingtonContactLensServiceInc.pdf,Columbus/Franklin,151,06/28/2024-08/03/2024,(770)212-7517,N,011-24-034
Bon Appetit Management,Bon Appetit Management,4/26/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/BonAppetit.pdf,Granville/Licking,222,6/30/24,(843)509-9436,N,007-24-033
Express,Express,4/22/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/Express.pdf,Columbus/Franklin,618,06/20/2024-07/04/2024,(614) 474-4320,N,011-24-032
EVO Transportation & Energy Services Inc.,EVO Transportation & Energy Services Inc.,4/15/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/EVOTransportationEnergyServicesInc.pdf,Columbus/Franklin,82,6/15/24,(417) 413-5430,N,011-24-031
Oak View Group,Oak View Group,4/9/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/OakViewGroup.pdf,Hamilton/Cincinnati,108,6/30/24,(513) 485-9612,The Chicago & Midwest Regional Joint Board of Workers United,013-24-029
ProMedica Employment Services LLC,ProMedica Employment Services LLC,4/1/24,https://dam.assets.ohio.gov/image/upload/v1712062982/jfs.ohio.gov/warn/WARN%202024/ProMedicaEmploymentServicesLLC.pdf,Cleveland/Cuyahoga,92,05/31/2024-06/13/2024,(419) 291-0136,N,003-24-028
Volta Charging Industries,Volta Charging Industries,4/1/24,https://dam.assets.ohio.gov/image/upload/v1712062982/jfs.ohio.gov/warn/WARN%202024/VoltaChargingIndustries.pdf,Cincinnati/Hamilton,3,5/31/24,(415) 308-5949,N,999-24-027
Family Dollar,Family Dollar,3/26/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/FamilyDollar.pdf,Unknown City/County,265,4/20/24,(757) 321-5000,N,999-24-026
Bionano Genomics,Bionano Genomics,3/22/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/BionanoGenomics.pdf,Unknown City/County,2,5/24/24,(858) 888-6707,N,999-24-025
Associated Materials LLC,Associated Materials LLC,3/21/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/AssociatedMaterialsLLC.pdf,Cuyahoga Falls/Summit,184,5/20/24,(330) 922-7571,N,003-24-024
ABM General Services,ABM General Services,3/19/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/ABMGeneralServices.pdf,North Randall/Cuyahoga,102,3/19/24,(216) 280-8124,N,003-24-023
Amsive LLC,Amsive LLC,3/18/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/Amsive.pdf,Miamisburg/Montgomery,60,5/17/24,(331) 265-4615,N,007-24-022
Nestle USA Update,Nestle USA Update,3/11/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/NestleUSAJanMarchUpdate.pdf,Solon/Cuyahoga,13,3/29/2024-12/31/2024,(818)298-2450,N,003-24-008
First Student Transportation LLC,First Student Transportation LLC,3/13/24,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202024/FirstStudent.pdf,Elyria/Lorain,81,6/30/24,(513) 678-4838,N,004-24-021
Sid Tool Company,Sid Tool Company,3/4/24,https://jfs.ohio.gov/static/warn/WARN%202024/SidToolCompany.pdf,Columbus/Franklin,130,05/14/2024-06/14/2024,(516) 812-1378,N,011-24-020
"Brightview Landscapes, LLC","Brightview Landscapes, LLC",3/4/24,https://jfs.ohio.gov/static/warn/WARN%202024/BrightviewLandscapesLLC.pdf,New Albany/Franklin,86,05/01/2024-06/01/2024,(614) 736-2302,N,011-24-019
IAC Wauseon,IAC Wauseon,2/27/24,https://jfs.ohio.gov/static/warn/WARN%202024/IACWauseon.pdf,Wauseon/Fulton,175,4/26/24,(419)378-7130,UAW Local 86,007-24-018
Decorative Panels International Inc.,Decorative Panels International Inc.,2/22/24,https://jfs.ohio.gov/static/warn/WARN 2024/DecorativePanelsInternationalInc.pdf,Toledo/Lucas,76,5/31/24,(419) 377-5627,N,009-24-017
Mohawk Fine Papers,Mohawk Fine Papers,2/16/24,https://jfs.ohio.gov/static/warn/WARN%202024/MohawkFinePapers.pdf,Ashtabula/Ashtabula,95,2/16/24,(518) 233-6730,N,019-24-016
Metro Decor LLC,Metro Decor LLC,2/13/24,https://jfs.ohio.gov/static/warn/WARN%202024/MetroDecorLLC.pdf,Glenwillow/Solon/Cuyahoga,80,02/29/2024-03/31/2024,(440) 589-5166,N,003-24-015
